"Benchmark","Routing","Selection","Data Packet Injection Rate","ACO Selection Alpha","Reinforcement Factor","Algorithm","Max Cycles","Simulation Time (Seconds)","Throughput","Average Packet Delay","Payload Throughput","Average Payload Packet Delay"
"fluidanimate","OddEven","ACO","0.2","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.089954021","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.088482724","0.003703125","60.641350210970465","0.003203125","64.82926829268293"
"fluidanimate","OddEven","ACO","0.2","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.095082079","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.092062459","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.092108637","0.003703125","60.641350210970465","0.003203125","64.82926829268293"
"fluidanimate","OddEven","ACO","0.2","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.12551552","0.003703125","60.641350210970465","0.003203125","64.82926829268293"
"fluidanimate","OddEven","ACO","0.2","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.07014896","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.080297802","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.117052704","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.131780683","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.147753425","0.003703125","60.55696202531646","0.003203125","64.74146341463414"
"fluidanimate","OddEven","ACO","0.2","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.084623942","0.003703125","60.641350210970465","0.003203125","64.82926829268293"
"fluidanimate","XY","Random","0.21","0.5","0.05","XY+Random","1000","0.079221535","0.003171875","61.679802955665025","0.003171875","61.679802955665025"
"fluidanimate","OddEven","BufferLevel","0.21","0.5","0.05","OddEven+BufferLevel","1000","0.129829094","0.0029375","55.265957446808514","0.0029375","55.265957446808514"
"fluidanimate","OddEven","ACO","0.21","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.085057092","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.105133397","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.100791755","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.098081861","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.13520849","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.115844076","0.00384375","65.22357723577235","0.00334375","69.88785046728972"
"fluidanimate","OddEven","ACO","0.21","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.114954806","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.135042749","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.09508927","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.096637365","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.118338727","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.196914553","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.132609859","0.00384375","65.22357723577235","0.00334375","69.88785046728972"
"fluidanimate","OddEven","ACO","0.21","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.094181006","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.139527319","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.11902602","0.00384375","65.22357723577235","0.00334375","69.88785046728972"
"fluidanimate","OddEven","ACO","0.21","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.0971139","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.123587232","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.109379942","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","OddEven","ACO","0.21","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.097347024","0.00384375","65.52439024390245","0.00334375","70.19158878504673"
"fluidanimate","XY","Random","0.22","0.5","0.05","XY+Random","1000","0.091386439","0.003390625","64.51612903225806","0.003390625","64.51612903225806"
"fluidanimate","OddEven","BufferLevel","0.22","0.5","0.05","OddEven+BufferLevel","1000","0.080001596","0.003125","57.6","0.003125","57.6"
"fluidanimate","OddEven","ACO","0.22","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.111297169","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.107624722","0.003984375","73.45098039215686","0.003484375","79.02242152466367"
"fluidanimate","OddEven","ACO","0.22","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.126002997","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.114537044","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.09053747","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.111212347","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.164786853","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.104540537","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.119845118","0.003984375","73.45098039215686","0.003484375","79.02242152466367"
"fluidanimate","OddEven","ACO","0.22","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.102055049","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.10210371","0.003984375","73.45098039215686","0.003484375","79.02242152466367"
"fluidanimate","OddEven","ACO","0.22","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.11821274","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.144206922","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.102931448","0.003984375","73.45098039215686","0.003484375","79.02242152466367"
"fluidanimate","OddEven","ACO","0.22","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.100863367","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.134360918","0.003984375","73.45098039215686","0.003484375","79.02242152466367"
"fluidanimate","OddEven","ACO","0.22","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.11239","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.103701025","0.003984375","73.45098039215686","0.003484375","79.02242152466367"
"fluidanimate","OddEven","ACO","0.22","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.159360055","0.003984375","74.4","0.003484375","80.10313901345292"
"fluidanimate","OddEven","ACO","0.22","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.129700184","0.003984375","73.45098039215686","0.003484375","79.02242152466367"
"fluidanimate","XY","Random","0.23","0.5","0.05","XY+Random","1000","0.213621173","0.00353125","69.50442477876106","0.00353125","69.50442477876106"
"fluidanimate","OddEven","BufferLevel","0.23","0.5","0.05","OddEven+BufferLevel","1000","0.082570636","0.00315625","57.17821782178218","0.00315625","57.17821782178218"
"fluidanimate","OddEven","ACO","0.23","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.147578115","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.144127738","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.112226427","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.3","0.032","OddEven+ACO(0.3, 0.032)","1000","0.110297356","0.00409375","85.61832061068702","0.00359375","92.55217391304348"
"fluidanimate","OddEven","ACO","0.23","0.4","0.0005","OddEven+ACO(0.4, 0.0005)","1000","0.112324317","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.4","0.002","OddEven+ACO(0.4, 0.002)","1000","0.131243893","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.4","0.008","OddEven+ACO(0.4, 0.008)","1000","0.179031081","0.00409375","85.61832061068702","0.00359375","92.55217391304348"
"fluidanimate","OddEven","ACO","0.23","0.4","0.032","OddEven+ACO(0.4, 0.032)","1000","0.14093131","0.00409375","85.61832061068702","0.00359375","92.55217391304348"
"fluidanimate","OddEven","ACO","0.23","0.5","0.0005","OddEven+ACO(0.5, 0.0005)","1000","0.106057792","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.5","0.002","OddEven+ACO(0.5, 0.002)","1000","0.099703385","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.5","0.008","OddEven+ACO(0.5, 0.008)","1000","0.140803146","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.5","0.032","OddEven+ACO(0.5, 0.032)","1000","0.131473877","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.6","0.0005","OddEven+ACO(0.6, 0.0005)","1000","0.189537035","0.00409375","85.61832061068702","0.00359375","92.55217391304348"
"fluidanimate","OddEven","ACO","0.23","0.6","0.002","OddEven+ACO(0.6, 0.002)","1000","0.135120279","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.6","0.008","OddEven+ACO(0.6, 0.008)","1000","0.169836301","0.00409375","85.61832061068702","0.00359375","92.55217391304348"
"fluidanimate","OddEven","ACO","0.23","0.6","0.032","OddEven+ACO(0.6, 0.032)","1000","0.135835926","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.7","0.0005","OddEven+ACO(0.7, 0.0005)","1000","0.1667884","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.7","0.002","OddEven+ACO(0.7, 0.002)","1000","0.115352048","0.00409375","85.61832061068702","0.00359375","92.55217391304348"
"fluidanimate","OddEven","ACO","0.23","0.7","0.008","OddEven+ACO(0.7, 0.008)","1000","0.162618256","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","OddEven","ACO","0.23","0.7","0.032","OddEven+ACO(0.7, 0.032)","1000","0.192577706","0.00409375","84.86641221374046","0.00359375","91.79130434782608"
"fluidanimate","XY","Random","0.24","0.5","0.05","XY+Random","1000","0.102498345","0.003609375","81.77489177489177","0.003609375","81.77489177489177"
"fluidanimate","OddEven","BufferLevel","0.24","0.5","0.05","OddEven+BufferLevel","1000","0.082427616","0.00334375","61.60747663551402","0.00334375","61.60747663551402"
"fluidanimate","OddEven","ACO","0.24","0.3","0.0005","OddEven+ACO(0.3, 0.0005)","1000","0.125373258","0.004203125","101.53531598513011","0.003703125","110.54008438818565"
"fluidanimate","OddEven","ACO","0.24","0.3","0.002","OddEven+ACO(0.3, 0.002)","1000","0.17174924","0.0041875","102.3768656716418","0.0036875","111.63559322033899"
"fluidanimate","OddEven","ACO","0.24","0.3","0.008","OddEven+ACO(0.3, 0.008)","1000","0.154385992","0.004203125","101.53531598513011","0.003703125","110.54008438818565"
